Cell names,Carboplatin,cells
BR:MDA-MB-231,0.621551724137931,MDAMB231
BR:HS 578T,0.705,HS578T
BR:BT-549,0.6117241379310345,BT549
BR:T-47D,0.6206896551724138,T47D
CNS:SF-268,3.5667241379310344,SF268
CNS:SF-295,3.75,SF295
CNS:SF-539,3.7320689655172417,SF539
CNS:SNB-19,3.6401724137931035,SNB19
CNS:SNB-75,3.625,SNB75
CNS:U251,4.008620689655173,U251
CO:COLO 205,3.46896551724138,COLO205
CO:HCC-2998,3.3060344827586206,HCC2998
CO:HCT-116,3.2363793103448275,HCT116
CO:HCT-15,3.310344827586207,HCT15
CO:HT29,3.557931034482759,HT29
CO:KM12,3.165344827586207,KM12
CO:SW-620,3.4655172413793105,SW620
LE:CCRF-CEM,3.57,CCRFCEM
LE:HL-60(TB),3.6582758620689657,HL60(TB)
LE:K-562,3.452931034482759,K562
LE:MOLT-4,3.797241379310345,MOLT4
LE:RPMI-8226,3.068793103448276,RPMI8226
LE:SR,0.7625862068965518,SR
ME:LOX IMVI,3.861896551724138,LOXIMVI
ME:MALME-3M,3.4172413793103447,MALME3M
ME:M14,1.6351724137931034,M14
ME:SK-MEL-2,3.4644827586206897,SKMEL2
ME:SK-MEL-28,3.1839655172413797,SKMEL28
ME:SK-MEL-5,3.5437931034482757,SKMEL5
ME:UACC-257,3.2803448275862066,UACC257
ME:UACC-62,4.113620689655172,UACC62
ME:MDA-MB-435,0.5786206896551724,MDAMB435
ME:MDA-N,0.5129310344827587,MDAN
LC:A549/ATCC,3.8948275862068966,A549/ATCC
LC:EKVX,3.0724137931034488,EKVX
LC:HOP-62,3.1187931034482763,HOP62
LC:HOP-92,3.327241379310345,HOP92
LC:NCI-H226,3.1301724137931037,NCIH226
LC:NCI-H23,3.9274137931034483,NCIH23
LC:NCI-H322M,3.118448275862069,NCIH322M
LC:NCI-H460,4.02948275862069,NCIH460
LC:NCI-H522,3.7293103448275864,NCIH522
OV:IGROV1,4.006896551724138,IGROV1
OV:OVCAR-3,3.486206896551724,OVCAR3
OV:OVCAR-4,3.646034482758621,OVCAR4
OV:OVCAR-5,3.455689655172414,OVCAR5
OV:OVCAR-8,3.555,OVCAR8
OV:SK-OV-3,3.4415517241379314,SKOV3
OV:NCI/ADR-RES,2.4024137931034484,NCI/ADRRES
PR:PC-3,0.43448275862068964,PC3
PR:DU-145,0.6791379310344827,DU145
RE:786-0,1.5086206896551724,7860
RE:A498,2.5877586206896552,A498
RE:ACHN,1.4820689655172412,ACHN
RE:CAKI-1,3.556206896551724,CAKI1
RE:RXF 393,3.3922413793103448,RXF393
RE:SN12C,3.6187931034482754,SN12C
RE:TK-10,1.5972413793103448,TK10
RE:UO-31,3.5986206896551725,UO31
