Cell names,Cisplatin,cells
BR:MDA-MB-231,1.4115827338129496,MDAMB231
BR:HS 578T,1.572589928057554,HS578T
BR:BT-549,1.282589928057554,BT549
BR:T-47D,1.4728776978417266,T47D
CNS:SF-268,5.638992805755396,SF268
CNS:SF-295,5.503021582733813,SF295
CNS:SF-539,5.384028776978417,SF539
CNS:SNB-19,5.056618705035971,SNB19
CNS:SNB-75,4.97158273381295,SNB75
CNS:U251,5.2667625899280575,U251
CO:COLO 205,4.538417266187051,COLO205
CO:HCC-2998,4.74136690647482,HCC2998
CO:HCT-116,4.92589928057554,HCT116
CO:HCT-15,4.463884892086331,HCT15
CO:HT29,4.921079136690647,HT29
CO:KM12,4.775395683453238,KM12
CO:SW-620,5.076546762589928,SW620
LE:CCRF-CEM,4.82453237410072,CCRFCEM
LE:HL-60(TB),4.900719424460432,HL60(TB)
LE:K-562,4.599568345323741,K562
LE:MOLT-4,4.958057553956834,MOLT4
LE:RPMI-8226,3.9938848920863306,RPMI8226
LE:SR,3.2153237410071944,SR
ME:LOX IMVI,5.175395683453237,LOXIMVI
ME:MALME-3M,4.8739568345323745,MALME3M
ME:M14,4.175827338129496,M14
ME:SK-MEL-2,4.612446043165468,SKMEL2
ME:SK-MEL-28,4.948705035971223,SKMEL28
ME:SK-MEL-5,5.0631654676258995,SKMEL5
ME:UACC-257,4.779496402877698,UACC257
ME:UACC-62,5.398345323741007,UACC62
ME:MDA-MB-435,1.4001438848920864,MDAMB435
ME:MDA-N,1.3607913669064748,MDAN
LC:A549/ATCC,5.396187050359712,A549/ATCC
LC:EKVX,4.461798561151078,EKVX
LC:HOP-62,4.811007194244604,HOP62
LC:HOP-92,4.465683453237411,HOP92
LC:NCI-H226,4.291223021582734,NCIH226
LC:NCI-H23,5.770431654676259,NCIH23
LC:NCI-H322M,4.470791366906475,NCIH322M
LC:NCI-H460,5.685035971223022,NCIH460
LC:NCI-H522,4.777266187050359,NCIH522
OV:IGROV1,5.292589928057554,IGROV1
OV:OVCAR-3,5.047985611510791,OVCAR3
OV:OVCAR-4,5.081223021582733,OVCAR4
OV:OVCAR-5,4.932589928057554,OVCAR5
OV:OVCAR-8,5.028705035971223,OVCAR8
OV:SK-OV-3,4.882014388489209,SKOV3
OV:NCI/ADR-RES,2.5398561151079138,NCI/ADRRES
PR:PC-3,1.5117985611510791,PC3
PR:DU-145,1.6474820143884892,DU145
RE:786-0,4.281582733812949,7860
RE:A498,3.8341007194244607,A498
RE:ACHN,4.3307194244604315,ACHN
RE:CAKI-1,4.593812949640287,CAKI1
RE:RXF 393,4.141438848920863,RXF393
RE:SN12C,4.955611510791368,SN12C
RE:TK-10,3.7915827338129495,TK10
RE:UO-31,5.142661870503598,UO31
