Cell names,Paclitaxel,cells
BR:MDA-MB-231,6.085692307692308,MDAMB231
BR:HS 578T,6.502923076923077,HS578T
BR:BT-549,5.573384615384615,BT549
BR:T-47D,5.334615384615384,T47D
CNS:SF-268,7.409076923076923,SF268
CNS:SF-295,6.5444615384615386,SF295
CNS:SF-539,7.826769230769231,SF539
CNS:SNB-19,6.925076923076923,SNB19
CNS:SNB-75,6.696615384615384,SNB75
CNS:U251,7.268923076923077,U251
CO:COLO 205,7.477692307692308,COLO205
CO:HCC-2998,6.982923076923076,HCC2998
CO:HCT-116,7.4852307692307685,HCT116
CO:HCT-15,6.330923076923077,HCT15
CO:HT29,8.103076923076923,HT29
CO:KM12,7.996923076923077,KM12
CO:SW-620,6.9893846153846155,SW620
LE:CCRF-CEM,7.119076923076923,CCRFCEM
LE:HL-60(TB),6.989538461538461,HL60(TB)
LE:K-562,7.480615384615385,K562
LE:MOLT-4,7.313384615384615,MOLT4
LE:RPMI-8226,6.725230769230769,RPMI8226
LE:SR,5.168923076923077,SR
ME:LOX IMVI,6.659999999999999,LOXIMVI
ME:MALME-3M,3.513846153846154,MALME3M
ME:M14,6.643384615384615,M14
ME:SK-MEL-2,4.7709230769230775,SKMEL2
ME:SK-MEL-28,3.46,SKMEL28
ME:SK-MEL-5,7.033384615384616,SKMEL5
ME:UACC-257,4.903692307692308,UACC257
ME:UACC-62,6.9555384615384614,UACC62
ME:MDA-MB-435,6.192615384615384,MDAMB435
ME:MDA-N,4.0906153846153845,MDAN
LC:A549/ATCC,7.700307692307692,A549/ATCC
LC:EKVX,5.9653846153846155,EKVX
LC:HOP-62,6.867692307692307,HOP62
LC:HOP-92,4.583384615384616,HOP92
LC:NCI-H226,5.169538461538461,NCIH226
LC:NCI-H23,7.5440000000000005,NCIH23
LC:NCI-H322M,6.036615384615384,NCIH322M
LC:NCI-H460,7.896,NCIH460
LC:NCI-H522,7.208615384615385,NCIH522
OV:IGROV1,6.830615384615385,IGROV1
OV:OVCAR-3,6.684769230769231,OVCAR3
OV:OVCAR-4,5.394461538461538,OVCAR4
OV:OVCAR-5,6.754153846153846,OVCAR5
OV:OVCAR-8,7.452,OVCAR8
OV:SK-OV-3,6.671076923076924,SKOV3
OV:NCI/ADR-RES,5.383538461538461,NCI/ADRRES
PR:PC-3,5.823076923076923,PC3
PR:DU-145,6.1598461538461535,DU145
RE:786-0,6.042461538461538,7860
RE:A498,5.549230769230769,A498
RE:ACHN,4.577538461538462,ACHN
RE:CAKI-1,5.1287692307692305,CAKI1
RE:RXF 393,6.786,RXF393
RE:SN12C,7.490615384615384,SN12C
RE:TK-10,5.71723076923077,TK10
RE:UO-31,5.650153846153846,UO31
